번호,공시대상회사,보고서명,제출인,접수일자,비고,popup_href,report_href
1,기  유티엑스,[기재정정]사업보고서 (2009.09),유티엑스,2009.12.30,연,00344746,20090629000562
2,기  아시아퍼시픽15호선박투자회사,[첨부정정]사업보고서 (2009.08),아시아퍼시픽15호선박투자회사,2009.12.29,연,00533678,20090629000562
3,기  아시아퍼시픽14호선박투자회사,사업보고서 (2009.09),아시아퍼시픽14호선박투자회사,2009.12.29,연,00533696,20090629000562
4,기  세실,사업보고서 (2009.09),세실,2009.12.29,,00446831,20090629000562
5,기  글로웍스,사업보고서 (2009.09),글로웍스,2009.12.29,연,00251190,20090629000562
6,유  방림,사업보고서 (2009.09),방림,2009.12.29,연,00122348,20090629000562
7,코  한국기업평가,사업보고서 (2009.09),한국기업평가,2009.12.29,연,00156956,20090629000562
8,코  인터엠,사업보고서 (2009.09),인터엠,2009.12.29,,00145914,20090629000562
9,코  브이티,사업보고서 (2009.09),브이티,2009.12.29,,00150165,20090629000562
10,코  한스바이오메드,사업보고서 (2009.09),한스바이오메드,2009.12.29,,00349060,20090629000562
11,코  이크레더블,사업보고서 (2009.09),이크레더블,2009.12.29,,00634728,20090629000562
12,기  유티엑스,사업보고서 (2009.09),유티엑스,2009.12.29,정연,00344746,20090629000562
13,코  소프트센,사업보고서 (2009.09),소프트센,2009.12.29,연,00204226,20090629000562
14,기  대한은박지,사업보고서 (2009.09),대한은박지,2009.12.29,,00113173,20090629000562
15,코  아이씨디,사업보고서 (2009.09),아이씨디,2009.12.29,,00298377,20090629000562
16,유  금비,사업보고서 (2009.09),금비,2009.12.29,,00168401,20090629000562
17,코  중앙에너비스,사업보고서 (2009.09),중앙에너비스,2009.12.29,,00149770,20090629000562
18,유  신영와코루,사업보고서 (2009.09),신영와코루,2009.12.29,연,00136624,20090629000562
19,유  에이프로젠바이오로직스,사업보고서 (2009.09),에이프로젠바이오로직스,2009.12.28,연,00101044,20090629000562
20,코  동국산업,[첨부정정]사업보고서 (2008.12),동국산업,2009.12.21,연,00172680,20090629000562
21,기  아시아퍼시픽15호선박투자회사,사업보고서 (2009.08),아시아퍼시픽15호선박투자회사,2009.11.30,정연,00533678,20090629000562
22,코  풍강,사업보고서 (2009.08),풍강,2009.11.27,,00155373,20090629000562
23,기  코크렙엔피에스제1호위탁관리부동산투자회사,사업보고서 (2009.09),코크렙엔피에스제1호위탁관리부동산투자회사,2009.11.25,,00586360,20090629000562
24,기  토마토저축은행,[기재정정]사업보고서 (2009.06),토마토저축은행,2009.11.11,연,00173759,20090629000562
25,코  와이오엠,[기재정정]사업보고서 (2009.06),와이오엠,2009.10.26,연,00370200,20090629000562
26,기  플러스프로핏,사업보고서 (2009.06),플러스프로핏,2009.10.08,,00259606,20090629000562
27,기  부산저축은행,[기재정정]사업보고서 (2009.06),부산저축은행,2009.09.30,연,00124054,20090629000562
28,기  부산저축은행,사업보고서 (2009.06),부산저축은행,2009.09.29,정연,00124054,20090629000562
29,코  효성오앤비,[기재정정]사업보고서 (2009.06),효성오앤비,2009.09.29,,00367385,20090629000562
30,기  삼화상호저축은행,[첨부정정]사업보고서 (2009.06),삼화상호저축은행,2009.09.29,,00129183,20090629000562
31,기  부산2저축은행,사업보고서 (2009.06),부산2저축은행,2009.09.29,,00263821,20090629000562
32,기  삼화상호저축은행,사업보고서 (2009.06),삼화상호저축은행,2009.09.28,정,00129183,20090629000562
33,기  한국저축은행,사업보고서 (2009.06),한국저축은행,2009.09.28,연,00104704,20090629000562
34,기  토마토저축은행,사업보고서 (2009.06),토마토저축은행,2009.09.28,정연,00173759,20090629000562
35,기  에스비아이저축은행,사업보고서 (2009.06),에스비아이저축은행,2009.09.28,연,00174518,20090629000562
36,코  와이오엠,사업보고서 (2009.06),와이오엠,2009.09.28,정연,00370200,20090629000562
37,기  진흥저축은행,사업보고서 (2009.06),진흥저축은행,2009.09.28,연,00150855,20090629000562
38,코  메디콕스,사업보고서 (2009.06),메디콕스,2009.09.28,,00356839,20090629000562
39,유  세원정공,사업보고서 (2009.06),세원정공,2009.09.28,연,00134316,20090629000562
40,코  바이온  IR,사업보고서 (2009.06),바이온,2009.09.28,,00232089,20090629000562
41,기  아시아퍼시픽11호선박투자회사,사업보고서 (2009.06),아시아퍼시픽11호선박투자회사,2009.09.28,연,00533793,20090629000562
42,기  제일이상호저축은행,사업보고서 (2009.06),제일이상호저축은행,2009.09.28,,00174323,20090629000562
43,기  제일저축은행,사업보고서 (2009.06),제일저축은행,2009.09.28,연,00174129,20090629000562
44,기  솔로몬저축은행,사업보고서 (2009.06),솔로몬저축은행,2009.09.28,연,00189343,20090629000562
45,유  체시스,사업보고서 (2009.06),체시스,2009.09.28,,00125576,20090629000562
46,기  메탈씨닷컴,사업보고서 (2009.06),메탈씨닷컴,2009.09.28,,00683353,20090629000562
47,코  TPC,사업보고서 (2009.06),TPC,2009.09.28,,00108649,20090629000562
48,기  아시아퍼시픽12호선박투자회사,사업보고서 (2009.06),아시아퍼시픽12호선박투자회사,2009.09.28,연,00533836,20090629000562
49,기  조은저축은행,사업보고서 (2009.06),조은저축은행,2009.09.28,,00136095,20090629000562
50,기  소예,사업보고서 (2009.06),소예,2009.09.28,,00134909,20090629000562
51,기  서울상호저축은행,사업보고서 (2009.06),서울상호저축은행,2009.09.28,,00130815,20090629000562
52,기  으뜸상호저축은행,사업보고서 (2009.06),으뜸상호저축은행,2009.09.28,,00148188,20090629000562
53,유  신성통상,사업보고서 (2009.06),신성통상,2009.09.28,연,00136341,20090629000562
54,기  애큐온저축은행,사업보고서 (2009.06),애큐온저축은행,2009.09.28,연,00111014,20090629000562
55,코  푸른저축은행,사업보고서 (2009.06),푸른저축은행,2009.09.28,연,00124805,20090629000562
56,유  만호제강,사업보고서 (2009.06),만호제강,2009.09.28,,00120872,20090629000562
57,코  효성오앤비,사업보고서 (2009.06),효성오앤비,2009.09.28,정,00367385,20090629000562
58,코  마크로젠,사업보고서 (2009.06),마크로젠,2009.09.28,,00261373,20090629000562
59,기  한국투자저축은행,사업보고서 (2009.06),한국투자저축은행,2009.09.28,,00102788,20090629000562
60,코  양지사,사업보고서 (2009.06),양지사,2009.09.28,,00139685,20090629000562
61,기  두함지개발,사업보고서 (2009.06),두함지개발,2009.09.28,,00131328,20090629000562
62,기  경기상호저축은행,사업보고서 (2009.06),경기상호저축은행,2009.09.25,,00385433,20090629000562
63,기  알에스넷,사업보고서 (2009.06),알에스넷,2009.09.25,,00207436,20090629000562
64,코  JYP Ent.,사업보고서 (2009.06),JYP Ent.,2009.09.25,정,00258689,20090629000562
65,코  유니크,사업보고서 (2009.06),유니크,2009.09.25,연,00147152,20090629000562
66,기  대백저축은행,사업보고서 (2009.06),대백저축은행,2009.09.25,,00110060,20090629000562
67,기  코크렙제8호위탁관리부동산투자회사,사업보고서 (2009.06),코크렙제8호위탁관리부동산투자회사,2009.09.25,,00560025,20090629000562
68,기  하이콘테크,사업보고서 (2009.06),하이콘테크,2009.09.24,,00164335,20090629000562
69,기  맥쿼리센트럴오피스기업구조조정부동산투자회사,사업보고서 (2009.06),맥쿼리센트럴오피스기업구조조정부동산투자회사,2009.09.09,,00465410,20090629000562
70,코  현대에버다임,[첨부정정]사업보고서 (2008.12),현대에버다임,2009.09.04,,00228536,20090629000562
71,기  아시아퍼시픽13호선박투자회사,사업보고서 (2009.05),아시아퍼시픽13호선박투자회사,2009.08.31,연,00533757,20090629000562
72,기  아시아퍼시픽10호선박투자회사,사업보고서 (2009.05),아시아퍼시픽10호선박투자회사,2009.08.31,연,00533580,20090629000562
73,유  동양생명,[기재정정]사업보고서 (2009.03),동양생명,2009.08.14,연,00117267,20090629000562
74,기  우리담배,사업보고서 (2008.12),우리담배,2009.08.05,,00596534,20090629000562
75,유  기신정기,[기재정정]사업보고서 (2009.03),기신정기,2009.08.04,연,00106614,20090629000562
76,기  중국식품포장유한공사,사업보고서 (2009.03),중국식품포장유한공사,2009.07.29,연,00694003,20090629000562
77,유  국제약품,[기재정정]사업보고서 (2009.03),국제약품,2009.07.29,,00104722,20090629000562
78,유  키움증권,[기재정정]사업보고서 (2009.03),키움증권,2009.07.27,연,00296290,20090629000562
79,기  코크렙제7호위탁관리부동산투자회사,사업보고서 (2009.04),코크렙제7호위탁관리부동산투자회사,2009.07.24,,00543523,20090629000562
80,기  동산진흥,[기재정정]사업보고서 (2008.12),동산진흥,2009.07.24,,00267775,20090629000562
81,유  DB손해보험,[첨부정정]사업보고서 (2009.03),DB손해보험,2009.07.17,연,00159102,20090629000562
82,유  기신정기,[기재정정]사업보고서 (2009.03),기신정기,2009.07.10,정연,00106614,20090629000562
83,기  휴리프,사업보고서 (2009.03),휴리프,2009.07.10,,00142698,20090629000562
84,기  케이알,사업보고서 (2009.03),케이알,2009.07.09,연,00242439,20090629000562
85,기  네프로아이티,사업보고서 (2009.03),네프로아이티,2009.07.06,,00687599,20090629000562
86,기  동원엔터프라이즈,[기재정정]사업보고서 (2009.03),동원엔터프라이즈,2009.07.03,연,00360425,20090629000562
87,기  케이비물산,[기재정정]사업보고서 (2009.01),케이비물산,2009.07.01,,00154189,20090629000562
88,기  우리종합금융,[기재정정]사업보고서 (2009.03),우리종합금융,2009.06.30,,00104102,20090629000562
89,유  롯데손해보험,[첨부정정]사업보고서 (2009.03),롯데손해보험,2009.06.30,,00113562,20090629000562
90,기  아이엠투자증권,사업보고서 (2009.03),아이엠투자증권,2009.06.30,,00149327,20090629000562
91,기  아이엠증권,[기재정정]사업보고서 (2009.03),아이엠증권,2009.06.30,연,00148665,20090629000562
92,기  대교홀딩스,사업보고서 (2008.03),대교홀딩스,2009.06.30,연,00366298,20090629000562
93,기  대교홀딩스,사업보고서 (2009.03),대교홀딩스,2009.06.30,연,00366298,20090629000562
94,기  토요타파이낸셜서비스코리아,사업보고서 (2009.03),토요타파이낸셜서비스코리아,2009.06.30,,00542001,20090629000562
95,기  경향신문사,사업보고서 (2009.03),경향신문사,2009.06.29,,00102399,20090629000562
96,기  우리종합금융,사업보고서 (2009.03),우리종합금융,2009.06.29,정,00104102,20090629000562
