번호,공시대상회사,보고서명,제출인,접수일자,비고,popup_href,report_href
1,코  비덴트,[기재정정]사업보고서 (2023.12),비덴트,2024.12.31,연,00693651,20240920000129
2,코  비덴트,[기재정정]사업보고서 (2022.12),비덴트,2024.12.31,연,00693651,20240920000129
3,코  이트론,[기재정정]사업보고서 (2022.12),이트론,2024.12.31,연,00480756,20240920000129
4,코  이트론,[기재정정]사업보고서 (2021.12),이트론,2024.12.31,연,00480756,20240920000129
5,코  이트론,[기재정정]사업보고서 (2020.12),이트론,2024.12.31,연,00480756,20240920000129
6,코  유비온  IR,[기재정정]사업보고서 (2024.09),유비온,2024.12.30,연,00531078,20240920000129
7,넥  창대정밀,사업보고서 (2023.12),창대정밀,2024.12.30,연,01467336,20240920000129
8,넥  도부,[기재정정]사업보고서 (2023.12),도부,2024.12.27,,01109690,20240920000129
9,넥  도부,[기재정정]사업보고서 (2019.12),도부,2024.12.27,연,01109690,20240920000129
10,기  신한로지스제1호위탁관리부동산투자회사,사업보고서 (2024.09),신한로지스제1호위탁관리부동산투자회사,2024.12.27,,01493429,20240920000129
11,코  아시아종묘,사업보고서 (2024.09),아시아종묘,2024.12.26,연,00867478,20240920000129
12,코  네오리진,[기재정정]사업보고서 (2023.12),네오리진,2024.12.24,연,00599106,20240920000129
13,넥  유비씨,사업보고서 (2023.12),유비씨,2024.12.24,,01867749,20240920000129
14,코  이트론,[기재정정]사업보고서 (2019.12),이트론,2024.12.24,연,00480756,20240920000129
15,유  마스턴프리미어리츠,사업보고서 (2024.09),마스턴프리미어리츠,2024.12.23,연,01442966,20240920000129
16,코  대동스틸,[기재정정]사업보고서 (2023.12),대동스틸,2024.12.20,,00109268,20240920000129
17,유  삼성물산,[기재정정]사업보고서 (2021.12),삼성물산,2024.12.20,연,00149655,20240920000129
18,코  한스바이오메드,사업보고서 (2024.09),한스바이오메드,2024.12.19,연,00349060,20240920000129
19,코  유비온  IR,사업보고서 (2024.09),유비온,2024.12.19,정연,00531078,20240920000129
20,유  금비,사업보고서 (2024.09),금비,2024.12.19,연,00168401,20240920000129
21,유  방림,사업보고서 (2024.09),방림,2024.12.19,연,00122348,20240920000129
22,넥  씨앗,[기재정정]사업보고서 (2019.12),씨앗,2024.12.17,,00762377,20240920000129
