번호,공시대상회사,보고서명,제출인,접수일자,비고,popup_href,report_href
1,코  인터엠,사업보고서 (2018.09),인터엠,2018.12.31,정연,00145914,20181005000462
2,유  강남제비스코,[기재정정]사업보고서 (2017.12),강남제비스코,2018.12.31,연,00100939,20181005000462
3,유  강남제비스코,[기재정정]사업보고서 (2016.12),강남제비스코,2018.12.31,연,00100939,20181005000462
4,유  강남제비스코,[기재정정]사업보고서 (2015.12),강남제비스코,2018.12.31,연,00100939,20181005000462
5,유  강남제비스코,[기재정정]사업보고서 (2014.12),강남제비스코,2018.12.31,연,00100939,20181005000462
6,유  강남제비스코,[기재정정]사업보고서 (2013.12),강남제비스코,2018.12.31,연,00100939,20181005000462
7,유  강남제비스코,[기재정정]사업보고서 (2012.12),강남제비스코,2018.12.31,연,00100939,20181005000462
8,유  강남제비스코,[기재정정]사업보고서 (2011.12),강남제비스코,2018.12.31,연,00100939,20181005000462
9,코  지놈앤컴퍼니,사업보고서 (2017.12),지놈앤컴퍼니,2018.12.31,,01276026,20181005000462
10,유  금비,사업보고서 (2018.09),금비,2018.12.31,정연,00168401,20181005000462
11,유  방림,[기재정정]사업보고서 (2018.09),방림,2018.12.31,정연,00122348,20181005000462
12,코  한스바이오메드,사업보고서 (2018.09),한스바이오메드,2018.12.28,연,00349060,20181005000462
13,코  씨엔플러스,[기재정정]사업보고서 (2017.12),씨엔플러스,2018.12.28,정연,00660033,20181005000462
14,코  아시아종묘,사업보고서 (2018.09),아시아종묘,2018.12.28,정연,00867478,20181005000462
15,코  HLB제약,[기재정정]사업보고서 (2017.12),HLB제약,2018.12.28,,00336817,20181005000462
16,코  특수건설,[기재정정]사업보고서 (2017.12),특수건설,2018.12.28,연,00186939,20181005000462
17,유  방림,사업보고서 (2018.09),방림,2018.12.28,정연,00122348,20181005000462
18,코  유비온  IR,사업보고서 (2018.09),유비온,2018.12.28,정,00531078,20181005000462
19,기  대원모방,사업보고서 (2017.12),대원모방,2018.12.28,,01195828,20181005000462
20,유  신한알파리츠  IR,사업보고서 (2018.09),신한알파리츠,2018.12.28,,01276594,20181005000462
21,코  프로티아,[기재정정]사업보고서 (2017.12),프로티아,2018.12.26,,01267958,20181005000462
22,코  프로티아,사업보고서 (2017.12),프로티아,2018.12.26,정,01267958,20181005000462
23,넥  테크엔,사업보고서 (2017.12),테크엔,2018.12.24,,01016886,20181005000462
24,유  웰바이오텍  IR,[기재정정]사업보고서 (2017.12),웰바이오텍,2018.12.13,연,00141273,20181005000462
25,유  웰바이오텍  IR,[기재정정]사업보고서 (2017.12),웰바이오텍,2018.12.10,정연,00141273,20181005000462
26,코  에코프로  IR,[기재정정]사업보고서 (2017.12),에코프로,2018.12.06,연,00536541,20181005000462
27,유  까뮤이앤씨,[기재정정]사업보고서 (2017.12),까뮤이앤씨,2018.12.04,,00129420,20181005000462
28,유  까뮤이앤씨,[기재정정]사업보고서 (2016.12),까뮤이앤씨,2018.12.04,,00129420,20181005000462
29,유  까뮤이앤씨,[기재정정]사업보고서 (2015.12),까뮤이앤씨,2018.12.04,,00129420,20181005000462
30,기  비엔에프머티리얼즈,사업보고서 (2017.12),비엔에프머티리얼즈,2018.12.03,,01221947,20181005000462
31,코  신일제약,[기재정정]사업보고서 (2017.12),신일제약,2018.11.30,,00137058,20181005000462
32,넥  에이펙스인텍,사업보고서 (2017.12),에이펙스인텍,2018.11.30,,00832700,20181005000462
33,코  영우디에스피,[기재정정]사업보고서 (2017.12),영우디에스피,2018.11.30,연,00569646,20181005000462
34,코  젠큐릭스,[기재정정]사업보고서 (2017.12),젠큐릭스,2018.11.29,,01051472,20181005000462
35,코  인트론바이오,[첨부정정]사업보고서 (2017.12),인트론바이오,2018.11.29,연,00292434,20181005000462
36,코  인트론바이오,[기재정정]사업보고서 (2017.12),인트론바이오,2018.11.29,정연,00292434,20181005000462
37,기  비보존,[기재정정]사업보고서 (2017.12),비보존,2018.11.29,정연,01181418,20181005000462
38,코  풍강,사업보고서 (2018.08),풍강,2018.11.29,연,00155373,20181005000462
39,넥  메디안디노스틱,[기재정정]사업보고서 (2017.12),메디안디노스틱,2018.11.28,연,01035942,20181005000462
40,넥  나라소프트,사업보고서 (2017.12),나라소프트,2018.11.27,,01267550,20181005000462
41,기  우방,[기재정정]사업보고서 (2017.12),우방,2018.11.26,,00759902,20181005000462
42,기  우방,[기재정정]사업보고서 (2016.12),우방,2018.11.26,,00759902,20181005000462
43,넥  엔에스컴퍼니,[기재정정]사업보고서 (2017.12),엔에스컴퍼니,2018.11.21,,00929228,20181005000462
44,넥  로지스몬,[기재정정]사업보고서 (2017.12),로지스몬,2018.11.21,,01060735,20181005000462
45,기  아이엘사이언스,사업보고서 (2017.12),아이엘사이언스,2018.11.21,,01181940,20181005000462
46,코  셀루메드,[기재정정]사업보고서 (2017.12),셀루메드,2018.11.16,연,00310156,20181005000462
47,코  셀루메드,[기재정정]사업보고서 (2017.12),셀루메드,2018.11.15,정연,00310156,20181005000462
