번호,공시대상회사,보고서명,제출인,접수일자,비고,popup_href,report_href
62,넥  대동고려삼,사업보고서 (2015.06),대동고려삼,2015.09.30,정,00910202,20150824000368
63,코  비츠로테크,사업보고서 (2015.06),비츠로테크,2015.09.30,정,00103644,20150824000368
64,유  신성통상,사업보고서 (2015.06),신성통상,2015.09.30,연,00136341,20150824000368
65,유  유니켐,사업보고서 (2015.06),유니켐,2015.09.30,,00137207,20150824000368
66,기  아시아퍼시픽12호선박투자회사,사업보고서 (2015.06),아시아퍼시픽12호선박투자회사,2015.09.30,,00533836,20150824000368
67,기  아시아퍼시픽11호선박투자회사,사업보고서 (2015.06),아시아퍼시픽11호선박투자회사,2015.09.30,,00533793,20150824000368
68,유  만호제강,사업보고서 (2015.06),만호제강,2015.09.30,연,00120872,20150824000368
69,코  효성오앤비,[기재정정]사업보고서 (2015.06),효성오앤비,2015.09.30,연,00367385,20150824000368
70,코  양지사,사업보고서 (2015.06),양지사,2015.09.30,,00139685,20150824000368
71,코  효성오앤비,사업보고서 (2015.06),효성오앤비,2015.09.30,정연,00367385,20150824000368
72,코  SGA솔루션즈,사업보고서 (2015.06),SGA솔루션즈,2015.09.30,연,00988364,20150824000368
73,기  대백저축은행,사업보고서 (2015.06),대백저축은행,2015.09.30,,00110060,20150824000368
74,기  트레이스,[기재정정]사업보고서 (2014.12),트레이스,2015.09.25,연,00348177,20150824000368
75,기  트레이스,[기재정정]사업보고서 (2013.12),트레이스,2015.09.25,연,00348177,20150824000368
76,기  트레이스,[기재정정]사업보고서 (2012.12),트레이스,2015.09.25,연,00348177,20150824000368
77,코  아세아텍,사업보고서 (2015.06),아세아텍,2015.09.25,연,00138747,20150824000368
78,유  체시스,사업보고서 (2015.06),체시스,2015.09.25,정연,00125576,20150824000368
79,기  에스엠바로코사,[첨부정정]사업보고서 (2014.12),에스엠바로코사,2015.09.25,,00496207,20150824000368
80,넥  판도라티비,[기재정정]사업보고서 (2014.12),판도라티비,2015.09.25,,00541862,20150824000368
81,넥  판도라티비,[기재정정]사업보고서 (2013.12),판도라티비,2015.09.25,,00541862,20150824000368
82,코  메디콕스,사업보고서 (2015.06),메디콕스,2015.09.25,정,00356839,20150824000368
83,코  포시에스,사업보고서 (2015.06),포시에스,2015.09.25,연,00939942,20150824000368
84,유  씨아이테크,[첨부정정]사업보고서 (2014.12),씨아이테크,2015.09.25,정연,00127158,20150824000368
85,기  애큐온저축은행,사업보고서 (2015.06),애큐온저축은행,2015.09.25,,00111014,20150824000368
86,코  푸른저축은행,사업보고서 (2015.06),푸른저축은행,2015.09.24,,00124805,20150824000368
87,코  비츠로셀,사업보고서 (2015.06),비츠로셀,2015.09.23,연,00154718,20150824000368
88,기  디와이엘엔제이,사업보고서 (2014.12),디와이엘엔제이,2015.09.21,,00959265,20150824000368
89,유  형지엘리트,사업보고서 (2015.06),형지엘리트,2015.09.21,연,00441243,20150824000368
90,코  오상헬스케어,[기재정정]사업보고서 (2014.12),오상헬스케어,2015.09.18,연,00260657,20150824000368
91,코  예스티,[기재정정]사업보고서 (2014.12),예스티,2015.09.16,,00530556,20150824000368
92,코  선바이오,[기재정정]사업보고서 (2014.12),선바이오,2015.09.10,연,00407036,20150824000368
93,기  스마트저축은행,사업보고서 (2015.06),스마트저축은행,2015.09.08,,00151030,20150824000368
94,코  GST,[기재정정]사업보고서 (2014.12),GST,2015.09.08,연,00540863,20150824000368
95,코  THE E&M,[기재정정]사업보고서 (2014.12),THE E&M,2015.09.07,연,00519252,20150824000368
