번호,공시대상회사,보고서명,제출인,접수일자,비고,popup_href,report_href
1,기  유티엑스,[기재정정]사업보고서 (2009.09),유티엑스,2009.12.30,연,00344746,20091230000238
2,기  아시아퍼시픽15호선박투자회사,[첨부정정]사업보고서 (2009.08),아시아퍼시픽15호선박투자회사,2009.12.29,연,00533678,20091229000354
3,기  아시아퍼시픽14호선박투자회사,사업보고서 (2009.09),아시아퍼시픽14호선박투자회사,2009.12.29,연,00533696,20091229000316
4,기  세실,사업보고서 (2009.09),세실,2009.12.29,,00446831,20091229000312
5,기  글로웍스,사업보고서 (2009.09),글로웍스,2009.12.29,연,00251190,20091229000247
6,유  방림,사업보고서 (2009.09),방림,2009.12.29,연,00122348,20091229000214
7,코  한국기업평가,사업보고서 (2009.09),한국기업평가,2009.12.29,연,00156956,20091229000176
8,코  인터엠,사업보고서 (2009.09),인터엠,2009.12.29,,00145914,20091229000174
9,코  브이티,사업보고서 (2009.09),브이티,2009.12.29,,00150165,20091229000173
10,코  한스바이오메드,사업보고서 (2009.09),한스바이오메드,2009.12.29,,00349060,20091229000169
11,코  이크레더블,사업보고서 (2009.09),이크레더블,2009.12.29,,00634728,20091229000168
12,기  유티엑스,사업보고서 (2009.09),유티엑스,2009.12.29,정연,00344746,20091229000122
13,코  소프트센,사업보고서 (2009.09),소프트센,2009.12.29,연,00204226,20091229000084
14,기  대한은박지,사업보고서 (2009.09),대한은박지,2009.12.29,,00113173,20091229000083
15,코  아이씨디,사업보고서 (2009.09),아이씨디,2009.12.29,,00298377,20091229000079
16,유  금비,사업보고서 (2009.09),금비,2009.12.29,,00168401,20091229000078
17,코  중앙에너비스,사업보고서 (2009.09),중앙에너비스,2009.12.29,,00149770,20091229000075
18,유  신영와코루,사업보고서 (2009.09),신영와코루,2009.12.29,연,00136624,20091229000033
19,유  에이프로젠바이오로직스,사업보고서 (2009.09),에이프로젠바이오로직스,2009.12.28,연,00101044,20091228000157
20,코  동국산업,[첨부정정]사업보고서 (2008.12),동국산업,2009.12.21,연,00172680,20091221000228
21,기  아시아퍼시픽15호선박투자회사,사업보고서 (2009.08),아시아퍼시픽15호선박투자회사,2009.11.30,정연,00533678,20091130000478
22,코  풍강,사업보고서 (2009.08),풍강,2009.11.27,,00155373,20091127000198
23,기  코크렙엔피에스제1호위탁관리부동산투자회사,사업보고서 (2009.09),코크렙엔피에스제1호위탁관리부동산투자회사,2009.11.25,,00586360,20091125000046
24,기  토마토저축은행,[기재정정]사업보고서 (2009.06),토마토저축은행,2009.11.11,연,00173759,20091111000060
25,코  와이오엠,[기재정정]사업보고서 (2009.06),와이오엠,2009.10.26,연,00370200,20091026000065
26,기  플러스프로핏,사업보고서 (2009.06),플러스프로핏,2009.10.08,,00259606,20091008000393
27,기  부산저축은행,[기재정정]사업보고서 (2009.06),부산저축은행,2009.09.30,연,00124054,20090929000416
28,기  부산저축은행,사업보고서 (2009.06),부산저축은행,2009.09.29,정연,00124054,20090929000405
29,코  효성오앤비,[기재정정]사업보고서 (2009.06),효성오앤비,2009.09.29,,00367385,20090929000301
30,기  삼화상호저축은행,[첨부정정]사업보고서 (2009.06),삼화상호저축은행,2009.09.29,,00129183,20090929000257
31,기  부산2저축은행,사업보고서 (2009.06),부산2저축은행,2009.09.29,,00263821,20090929000179
