번호,공시대상회사,보고서명,제출인,접수일자,비고,popup_href,report_href
1,코  유비온  IR,[기재정정]사업보고서 (2021.09),유비온,2021.12.29,정,00531078,20211229000589
2,코  앤디포스,[기재정정]사업보고서 (2019.12),앤디포스,2021.12.28,연,00942131,20211228000497
3,기  신한로지스제1호위탁관리부동산투자회사,사업보고서 (2021.09),신한로지스제1호위탁관리부동산투자회사,2021.12.23,,01493429,20211223000467
4,코  유바이오로직스,[기재정정]사업보고서 (2020.12),유바이오로직스,2021.12.23,,00927558,20211223000462
5,유  금비,[기재정정]사업보고서 (2021.09),금비,2021.12.22,연,00168401,20211222000233
6,유  방림,사업보고서 (2021.09),방림,2021.12.22,연,00122348,20211222000216
7,코  한스바이오메드,사업보고서 (2021.09),한스바이오메드,2021.12.21,연,00349060,20211221000418
8,코  아시아종묘,사업보고서 (2021.09),아시아종묘,2021.12.21,연,00867478,20211221000199
9,넥  라피치,사업보고서 (2020.12),라피치,2021.12.20,,01466832,20211220000391
10,코  인터엠,사업보고서 (2021.09),인터엠,2021.12.20,연,00145914,20211220000362
11,코  유비온  IR,사업보고서 (2021.09),유비온,2021.12.20,정,00531078,20211220000345
12,코  삼보판지,[기재정정]사업보고서 (2017.12),삼보판지,2021.12.20,연,00125938,20211220000250
13,코  우진비앤지,[기재정정]사업보고서 (2019.12),우진비앤지,2021.12.20,연,00103547,20211220000241
14,코  우진비앤지,[기재정정]사업보고서 (2019.12),우진비앤지,2021.12.17,정연,00103547,20211217000493
15,코  우진비앤지,[기재정정]사업보고서 (2018.12),우진비앤지,2021.12.17,연,00103547,20211217000486
16,코  우진비앤지,[기재정정]사업보고서 (2017.12),우진비앤지,2021.12.17,,00103547,20211217000478
17,코  우진비앤지,[기재정정]사업보고서 (2016.12),우진비앤지,2021.12.17,,00103547,20211217000473
18,코  CNH,[기재정정]사업보고서 (2020.12),CNH,2021.12.17,연,00149266,20211217000385
19,넥  제이엠멀티,사업보고서 (2020.12),제이엠멀티,2021.12.17,,01366824,20211217000434
20,유  금비,사업보고서 (2021.09),금비,2021.12.17,정연,00168401,20211216000453
21,유  SK리츠,사업보고서 (2021.09),SK리츠,2021.12.15,연,01535150,20211215000203
22,넥  바이오프로테크,[기재정정]사업보고서 (2020.12),바이오프로테크,2021.12.15,,00669450,20211215000032
