번호,공시대상회사,보고서명,제출인,접수일자,비고,popup_href,report_href
1,코  브이티,사업보고서 (2006.09),브이티,2006.12.29,,00150165,20061229000216
2,기  글로웍스,사업보고서 (2006.09),글로웍스,2006.12.29,연,00251190,20061229000209
3,유  에이프로젠바이오로직스,사업보고서 (2006.09),에이프로젠바이오로직스,2006.12.29,정,00101044,20061229000178
4,코  보성파워텍,사업보고서 (2006.09),보성파워텍,2006.12.29,,00267881,20061229000152
5,기  대한은박지,사업보고서 (2006.09),대한은박지,2006.12.29,연,00113173,20061229000137
6,유  이건산업,사업보고서 (2006.09),이건산업,2006.12.29,연,00145446,20061229000135
7,코  아이씨디,사업보고서 (2006.09),아이씨디,2006.12.29,,00298377,20061229000124
8,유  SUN&L,사업보고서 (2006.09),SUN&L,2006.12.29,연,00132211,20061229000116
9,코  인터엠,사업보고서 (2006.09),인터엠,2006.12.29,연,00145914,20061229000081
10,기  유레스메리츠제1호,사업보고서 (2006.09),유레스메리츠제1호,2006.12.29,,00458915,20061229000074
11,코  이건홀딩스,사업보고서 (2006.09),이건홀딩스,2006.12.29,연,00184889,20061229000052
12,유  금비,사업보고서 (2006.09),금비,2006.12.29,,00168401,20061229000017
13,기  미래엔,[첨부정정]사업보고서 (2006.08),미래엔,2006.12.29,연,00112873,20061229000013
14,유  신영와코루,사업보고서 (2006.09),신영와코루,2006.12.29,,00136624,20061229000012
15,코  아바코,[기재정정]사업보고서 (2005.12),아바코,2006.12.28,,00442145,20061228000332
16,코  소프트센,사업보고서 (2006.09),소프트센,2006.12.28,연,00204226,20061228000262
17,기  유에이블,사업보고서 (2006.09),유에이블,2006.12.28,정,00416706,20061228000235
18,코  다산네트웍스  IR,사업보고서 (2006.09),다산네트웍스,2006.12.28,,00268251,20061228000186
19,유  사조동아원,사업보고서 (2006.09),사조동아원,2006.12.28,,00137252,20061228000145
20,코  대아티아이  IR,[기재정정]사업보고서 (2006.06),대아티아이,2006.12.28,,00318316,20061228000142
21,유  방림,사업보고서 (2006.09),방림,2006.12.28,연,00122348,20061228000084
22,코  중앙에너비스,사업보고서 (2006.09),중앙에너비스,2006.12.28,,00149770,20061228000033
23,유  성창기업지주,사업보고서 (2006.09),성창기업지주,2006.12.26,정,00133335,20061226000133
24,기  아시아퍼시픽14호선박투자회사,사업보고서 (2006.09),아시아퍼시픽14호선박투자회사,2006.12.21,연,00533696,20061221000091
25,유  미원상사,사업보고서 (2006.09),미원상사,2006.12.21,연,00121932,20061221000048
26,유  이건산업,[기재정정]사업보고서 (2005.09),이건산업,2006.12.06,정연,00145446,20061205000273
27,기  부산저축은행,[기재정정]사업보고서 (2006.06),부산저축은행,2006.12.01,연,00124054,20061130000231
28,기  아시아퍼시픽15호선박투자회사,[기재정정]사업보고서 (2006.08),아시아퍼시픽15호선박투자회사,2006.11.30,연,00533678,20061130000162
29,기  코크렙제3호CR리츠,사업보고서 (2006.08),코크렙제3호CR리츠,2006.11.29,,00459589,20061129000043
30,기  미래엔,사업보고서 (2006.08),미래엔,2006.11.29,정연,00112873,20061129000003
31,기  아시아퍼시픽15호선박투자회사,사업보고서 (2006.08),아시아퍼시픽15호선박투자회사,2006.11.28,정연,00533678,20061128000127
32,코  카스,[기재정정]사업보고서 (2005.12),카스,2006.11.14,,00152260,20061114001665
33,유  한솔케미칼,[기재정정]사업보고서 (2005.12),한솔케미칼,2006.11.14,,00140955,20061114000183
34,유  한솔케미칼,[기재정정]사업보고서 (2005.12),한솔케미칼,2006.11.13,정,00140955,20061113000547
35,기  산양전기,[기재정정]사업보고서 (2005.12),산양전기,2006.11.10,,00363325,20061110000007
36,유  세원정공,[첨부정정]사업보고서 (2006.06),세원정공,2006.10.31,연,00134316,20061031000122
37,기  현주컴퓨터,[기재정정]사업보고서 (2006.06),현주컴퓨터,2006.10.02,,00244330,20061002000214
38,기  에스비아이저축은행,사업보고서 (2006.06),에스비아이저축은행,2006.09.29,,00174518,20060929000286
39,유  현대글로비스,[기재정정]사업보고서 (2005.12),현대글로비스,2006.09.29,연,00360595,20060929000225
40,기  현주컴퓨터,사업보고서 (2006.06),현주컴퓨터,2006.09.29,정,00244330,20060929000125
41,기  제일저축은행,사업보고서 (2006.06),제일저축은행,2006.09.28,연,00174129,20060928000311
42,유  한솔홈데코,[기재정정]사업보고서 (2005.12),한솔홈데코,2006.09.28,연,00203582,20060928000279
43,기  애큐온저축은행,사업보고서 (2006.06),애큐온저축은행,2006.09.28,,00111014,20060928000267
44,기  한솔아트원제지,사업보고서 (2006.06),한솔아트원제지,2006.09.28,연,00137702,20060928000247
45,코  마크로젠,사업보고서 (2006.06),마크로젠,2006.09.28,,00261373,20060928000241
46,코  TPC,사업보고서 (2006.06),TPC,2006.09.28,,00108649,20060928000235
47,기  코크렙제1호기업구조조정부동산투자회사,사업보고서 (2006.06),코크렙제1호기업구조조정부동산투자회사,2006.09.28,,00398534,20060928000219
48,코  양지사,사업보고서 (2006.06),양지사,2006.09.28,,00139685,20060928000213
49,기  솔로몬저축은행,사업보고서 (2006.06),솔로몬저축은행,2006.09.28,연,00189343,20060928000206
50,기  으뜸상호저축은행,사업보고서 (2006.06),으뜸상호저축은행,2006.09.28,,00148188,20060928000195
51,코  푸른저축은행,사업보고서 (2006.06),푸른저축은행,2006.09.28,연,00124805,20060928000194
52,기  남한제지,사업보고서 (2006.06),남한제지,2006.09.28,,00107923,20060928000189
53,코  JYP Ent.,사업보고서 (2006.06),JYP Ent.,2006.09.28,,00258689,20060928000183
54,기  플러스프로핏,사업보고서 (2006.06),플러스프로핏,2006.09.28,,00259606,20060928000171
