번호,공시대상회사,보고서명,제출인,접수일자,비고,popup_href,report_href
1,코  인터엠,사업보고서 (2018.09),인터엠,2018.12.31,정연,00145914,20181231000174
2,유  강남제비스코,[기재정정]사업보고서 (2017.12),강남제비스코,2018.12.31,연,00100939,20181231000137
3,유  강남제비스코,[기재정정]사업보고서 (2016.12),강남제비스코,2018.12.31,연,00100939,20181231000132
4,유  강남제비스코,[기재정정]사업보고서 (2015.12),강남제비스코,2018.12.31,연,00100939,20181231000124
5,유  강남제비스코,[기재정정]사업보고서 (2014.12),강남제비스코,2018.12.31,연,00100939,20181231000116
6,유  강남제비스코,[기재정정]사업보고서 (2013.12),강남제비스코,2018.12.31,연,00100939,20181231000114
7,유  강남제비스코,[기재정정]사업보고서 (2012.12),강남제비스코,2018.12.31,연,00100939,20181231000110
8,유  강남제비스코,[기재정정]사업보고서 (2011.12),강남제비스코,2018.12.31,연,00100939,20181231000103
9,코  지놈앤컴퍼니,사업보고서 (2017.12),지놈앤컴퍼니,2018.12.31,,01276026,20181231000061
10,유  금비,사업보고서 (2018.09),금비,2018.12.31,정연,00168401,20181231000055
11,유  방림,[기재정정]사업보고서 (2018.09),방림,2018.12.31,정연,00122348,20181228000854
12,코  한스바이오메드,사업보고서 (2018.09),한스바이오메드,2018.12.28,연,00349060,20181228000773
13,코  씨엔플러스,[기재정정]사업보고서 (2017.12),씨엔플러스,2018.12.28,정연,00660033,20181228000720
14,코  아시아종묘,사업보고서 (2018.09),아시아종묘,2018.12.28,정연,00867478,20181228000628
15,코  HLB제약,[기재정정]사업보고서 (2017.12),HLB제약,2018.12.28,,00336817,20181228000448
16,코  특수건설,[기재정정]사업보고서 (2017.12),특수건설,2018.12.28,연,00186939,20181228000437
17,유  방림,사업보고서 (2018.09),방림,2018.12.28,정연,00122348,20181228000421
18,코  유비온  IR,사업보고서 (2018.09),유비온,2018.12.28,정,00531078,20181228000358
19,기  대원모방,사업보고서 (2017.12),대원모방,2018.12.28,,01195828,20181228000183
20,유  신한알파리츠  IR,사업보고서 (2018.09),신한알파리츠,2018.12.28,,01276594,20181228000161
21,코  프로티아,[기재정정]사업보고서 (2017.12),프로티아,2018.12.26,,01267958,20181226000186
22,코  프로티아,사업보고서 (2017.12),프로티아,2018.12.26,정,01267958,20181224000433
23,넥  테크엔,사업보고서 (2017.12),테크엔,2018.12.24,,01016886,20181224000149
24,유  웰바이오텍  IR,[기재정정]사업보고서 (2017.12),웰바이오텍,2018.12.13,연,00141273,20181213000473
25,유  웰바이오텍  IR,[기재정정]사업보고서 (2017.12),웰바이오텍,2018.12.10,정연,00141273,20181210000426
26,코  에코프로  IR,[기재정정]사업보고서 (2017.12),에코프로,2018.12.06,연,00536541,20181206000084
27,유  까뮤이앤씨,[기재정정]사업보고서 (2017.12),까뮤이앤씨,2018.12.04,,00129420,20181204000264
28,유  까뮤이앤씨,[기재정정]사업보고서 (2016.12),까뮤이앤씨,2018.12.04,,00129420,20181204000257
29,유  까뮤이앤씨,[기재정정]사업보고서 (2015.12),까뮤이앤씨,2018.12.04,,00129420,20181204000247
30,기  비엔에프머티리얼즈,사업보고서 (2017.12),비엔에프머티리얼즈,2018.12.03,,01221947,20181203000071
31,코  신일제약,[기재정정]사업보고서 (2017.12),신일제약,2018.11.30,,00137058,20181130000929
32,넥  에이펙스인텍,사업보고서 (2017.12),에이펙스인텍,2018.11.30,,00832700,20181130000848
33,코  영우디에스피,[기재정정]사업보고서 (2017.12),영우디에스피,2018.11.30,연,00569646,20181130000144
34,코  젠큐릭스,[기재정정]사업보고서 (2017.12),젠큐릭스,2018.11.29,,01051472,20181129000896
35,코  인트론바이오,[첨부정정]사업보고서 (2017.12),인트론바이오,2018.11.29,연,00292434,20181129000648
36,코  인트론바이오,[기재정정]사업보고서 (2017.12),인트론바이오,2018.11.29,정연,00292434,20181129000580
37,기  비보존,[기재정정]사업보고서 (2017.12),비보존,2018.11.29,정연,01181418,20181129000258
38,코  풍강,사업보고서 (2018.08),풍강,2018.11.29,연,00155373,20181129000046
39,넥  메디안디노스틱,[기재정정]사업보고서 (2017.12),메디안디노스틱,2018.11.28,연,01035942,20181128000102
40,넥  나라소프트,사업보고서 (2017.12),나라소프트,2018.11.27,,01267550,20181127000138
41,기  우방,[기재정정]사업보고서 (2017.12),우방,2018.11.26,,00759902,20181126000311
42,기  우방,[기재정정]사업보고서 (2016.12),우방,2018.11.26,,00759902,20181126000305
43,넥  엔에스컴퍼니,[기재정정]사업보고서 (2017.12),엔에스컴퍼니,2018.11.21,,00929228,20181121000337
44,넥  로지스몬,[기재정정]사업보고서 (2017.12),로지스몬,2018.11.21,,01060735,20181121000271
45,기  아이엘사이언스,사업보고서 (2017.12),아이엘사이언스,2018.11.21,,01181940,20181121000259
46,코  셀루메드,[기재정정]사업보고서 (2017.12),셀루메드,2018.11.16,연,00310156,20181116000045
47,코  셀루메드,[기재정정]사업보고서 (2017.12),셀루메드,2018.11.15,정연,00310156,20181115000226
48,코  에스엘에스바이오,[기재정정]사업보고서 (2017.12),에스엘에스바이오,2018.11.15,,01112700,20181115000192
49,코  시노펙스,[기재정정]사업보고서 (2017.12),시노펙스,2018.11.14,연,00203023,20181114002460
50,기  아이엠캐피탈,[기재정정]사업보고서 (2017.12),아이엠캐피탈,2018.11.14,연,00796471,20181114002434
51,코  시노펙스,[기재정정]사업보고서 (2016.12),시노펙스,2018.11.14,연,00203023,20181114002375
52,기  세영디앤씨,[기재정정]사업보고서 (2017.12),세영디앤씨,2018.11.14,연,00347877,20181114002104
53,기  현대종합특수강,[기재정정]사업보고서 (2017.12),현대종합특수강,2018.11.14,연,00864842,20181114001836
54,유  에이플러스에셋,[기재정정]사업보고서 (2017.12),에이플러스에셋,2018.11.14,,00684802,20181114001333
55,기  우리은행,[기재정정]사업보고서 (2017.12),우리은행,2018.11.14,연,00254045,20181114001021
56,코  KD,[기재정정]사업보고서 (2016.12),KD,2018.11.09,연,00111218,20181109000316
57,코  KD,[기재정정]사업보고서 (2015.12),KD,2018.11.09,연,00111218,20181109000291
58,유  이수화학,[기재정정]사업보고서 (2017.12),이수화학,2018.11.07,연,00145552,20181107000303
59,유  이수화학,[기재정정]사업보고서 (2016.12),이수화학,2018.11.07,연,00145552,20181107000301
60,유  이수화학,[기재정정]사업보고서 (2015.12),이수화학,2018.11.07,연,00145552,20181107000297
61,유  이수화학,[기재정정]사업보고서 (2014.12),이수화학,2018.11.07,연,00145552,20181107000292
62,유  이수화학,[기재정정]사업보고서 (2013.12),이수화학,2018.11.07,연,00145552,20181107000289
63,유  이수화학,[기재정정]사업보고서 (2012.12),이수화학,2018.11.07,연,00145552,20181107000284
64,유  이수화학,[기재정정]사업보고서 (2011.12),이수화학,2018.11.07,연,00145552,20181107000282
65,유  SGC에너지,[기재정정]사업보고서 (2017.12),SGC에너지,2018.11.06,연,00125150,20181105000418
66,기  선향,사업보고서 (2017.12),선향,2018.11.02,,01323263,20181102000269
67,유  웅진,[기재정정]사업보고서 (2017.12),웅진,2018.11.02,연,00143651,20181102000260
68,유  이연제약,[기재정정]사업보고서 (2017.12),이연제약,2018.10.31,연,00145598,20181031000509
69,기  다이오진,[기재정정]사업보고서 (2017.12),다이오진,2018.10.30,,01163050,20181030000276
70,코  씨엑스아이,사업보고서 (2018.06),씨엑스아이,2018.10.29,연,00800084,20181029000214
71,코  수젠텍,[기재정정]사업보고서 (2017.12),수젠텍,2018.10.29,,01063954,20181029000146
72,코  인텍플러스,[기재정정]사업보고서 (2017.12),인텍플러스,2018.10.29,연,00479787,20181029000055
73,코  엠벤처투자,[기재정정]사업보고서 (2017.12),엠벤처투자,2018.10.26,연,00136642,20181026000572
74,기  산은캐피탈,[기재정정]사업보고서 (2017.12),산은캐피탈,2018.10.26,연,00260356,20181026000565
75,기  케이비캐피탈,[기재정정]사업보고서 (2017.12),케이비캐피탈,2018.10.26,연,00161408,20181026000501
76,기  케이비캐피탈,[기재정정]사업보고서 (2016.12),케이비캐피탈,2018.10.26,,00161408,20181026000453
77,유  덕양산업,[기재정정]사업보고서 (2017.12),덕양산업,2018.10.26,연,00114154,20181026000311
78,코  GRT,사업보고서 (2018.06),GRT,2018.10.25,연,01170962,20181025000416
79,유  JW중외제약,[기재정정]사업보고서 (2017.12),JW중외제약,2018.10.24,연,00149947,20181024000255
80,유  JW중외제약,[기재정정]사업보고서 (2016.12),JW중외제약,2018.10.24,연,00149947,20181024000252
81,유  KB금융,[기재정정]사업보고서 (2017.12),KB금융,2018.10.23,정연,00688996,20181023000287
82,기  국민은행,[기재정정]사업보고서 (2017.12),국민은행,2018.10.23,연,00386937,20181023000238
83,코  헝셩그룹,[기재정정]사업보고서 (2017.12),헝셩그룹,2018.10.22,연,01160512,20181022000194
84,유  세원정공,[기재정정]사업보고서 (2018.06),세원정공,2018.10.18,정연,00134316,20181018000325
85,코  디에스케이,[기재정정]사업보고서 (2017.12),디에스케이,2018.10.16,정연,00530121,20181016000234
86,유  수산중공업,[첨부정정]사업보고서 (2017.12),수산중공업,2018.10.16,연,00135111,20181016000110
87,기  바이오이즈,[기재정정]사업보고서 (2017.12),바이오이즈,2018.10.16,연,01185548,20181016000086
