번호,공시대상회사,보고서명,제출인,접수일자,비고,popup_href,report_href
1,코  인터엠,[기재정정]사업보고서 (2012.09),인터엠,2012.12.31,정연,00145914,20121231000364
2,기  평산차업집단유한공사,사업보고서 (2012.09),평산차업집단유한공사,2012.12.31,정연,00599230,20121231000198
3,기  글로웍스,사업보고서 (2012.09),글로웍스,2012.12.31,,00251190,20121231000182
4,코  중앙에너비스,사업보고서 (2012.09),중앙에너비스,2012.12.31,,00149770,20121231000176
5,기  대한은박지,사업보고서 (2012.09),대한은박지,2012.12.31,,00113173,20121231000162
6,유  방림,사업보고서 (2012.09),방림,2012.12.31,연,00122348,20121231000111
7,기  아시아퍼시픽15호선박투자회사,[기재정정]사업보고서 (2012.08),아시아퍼시픽15호선박투자회사,2012.12.31,연,00533678,20121231000105
8,기  아시아퍼시픽14호선박투자회사,사업보고서 (2012.09),아시아퍼시픽14호선박투자회사,2012.12.31,연,00533696,20121231000103
9,코  농우바이오,사업보고서 (2012.09),농우바이오,2012.12.31,연,00176835,20121231000083
10,기  제이엠씨중공업,사업보고서 (2011.09),제이엠씨중공업,2012.12.31,,00219185,20121231000080
11,기  제이엠씨중공업,사업보고서 (2012.09),제이엠씨중공업,2012.12.31,,00219185,20121231000072
12,코  한국기업평가,사업보고서 (2012.09),한국기업평가,2012.12.28,연,00156956,20121228000502
13,유  금비,사업보고서 (2012.09),금비,2012.12.28,정연,00168401,20121228000470
14,코  아이씨디,사업보고서 (2012.09),아이씨디,2012.12.28,,00298377,20121228000390
15,코  이크레더블,사업보고서 (2012.09),이크레더블,2012.12.28,연,00634728,20121228000383
16,코  한스바이오메드,사업보고서 (2012.09),한스바이오메드,2012.12.28,연,00349060,20121228000148
17,코  인터엠,사업보고서 (2012.09),인터엠,2012.12.28,정연,00145914,20121228000045
18,코  소프트센,사업보고서 (2012.09),소프트센,2012.12.28,,00204226,20121228000015
19,유  신영와코루,사업보고서 (2012.09),신영와코루,2012.12.28,연,00136624,20121228000007
20,기  에이디모터스,[기재정정]사업보고서 (2010.12),에이디모터스,2012.12.20,,00266989,20121220000039
21,기  에이디모터스,[기재정정]사업보고서 (2009.12),에이디모터스,2012.12.20,,00266989,20121220000031
22,기  에이디모터스,[기재정정]사업보고서 (2010.12),에이디모터스,2012.12.18,정,00266989,20121218000339
23,기  에이디모터스,[기재정정]사업보고서 (2009.12),에이디모터스,2012.12.18,정,00266989,20121218000162
24,기  중국고섬공고유한공사,[기재정정]사업보고서 (2010.12),중국고섬공고유한공사,2012.12.18,연,00844884,20121218000123
25,코  HLB이노베이션,[첨부정정]사업보고서 (2011.12),HLB이노베이션,2012.12.13,연,00155586,20121213000052
26,기  바이오빌,[기재정정]사업보고서 (2011.12),바이오빌,2012.12.06,연,00155382,20121206000112
27,기  아시아퍼시픽15호선박투자회사,사업보고서 (2012.08),아시아퍼시픽15호선박투자회사,2012.11.29,정연,00533678,20121129000115
28,코  풍강,사업보고서 (2012.08),풍강,2012.11.28,,00155373,20121128000149
29,코  씨씨에스,[기재정정]사업보고서 (2011.12),씨씨에스,2012.11.15,연,00249441,20121115000313
30,기  더블유저축은행,사업보고서 (2012.06),더블유저축은행,2012.11.14,,00141361,20121114001774
31,기  유아이에너지,[기재정정]사업보고서 (2011.12),유아이에너지,2012.11.14,,00262123,20121114000381
32,기  한울저축은행,[기재정정]사업보고서 (2012.06),한울저축은행,2012.11.12,,00153481,20121112000344
33,유  신한지주,[기재정정]사업보고서 (2011.12),신한지주,2012.10.26,연,00382199,20121026000269
34,기  신한은행,[기재정정]사업보고서 (2011.12),신한은행,2012.10.26,연,00149293,20121026000267
35,유  신한지주,[기재정정]사업보고서 (2010.12),신한지주,2012.10.26,연,00382199,20121026000253
36,기  신한은행,[기재정정]사업보고서 (2010.12),신한은행,2012.10.26,연,00149293,20121026000251
37,기  신한은행,[기재정정]사업보고서 (2010.12),신한은행,2012.10.26,정연,00149293,20121026000250
38,코  씨엑스아이,사업보고서 (2012.06),씨엑스아이,2012.10.23,정연,00800084,20121023000202
39,기  골든브릿지저축은행,[기재정정]사업보고서 (2012.06),골든브릿지저축은행,2012.10.17,,00174509,20121017000133
40,코  비츠로셀,[기재정정]사업보고서 (2012.03),비츠로셀,2012.10.15,,00154718,20121015000166
41,기  서울상호저축은행,[기재정정]사업보고서 (2012.06),서울상호저축은행,2012.10.12,,00130815,20121012000291
42,코  비츠로시스,[기재정정]사업보고서 (2012.03),비츠로시스,2012.10.12,연,00201432,20121012000261
43,코  비츠로테크,[기재정정]사업보고서 (2012.03),비츠로테크,2012.10.12,연,00103644,20121012000237
44,기  중국식품포장유한공사,[기재정정]사업보고서 (2012.03),중국식품포장유한공사,2012.10.12,연,00694003,20121012000221
45,유  이화산업,[기재정정]사업보고서 (2012.03),이화산업,2012.10.11,연,00145686,20121011000102
46,기  부산방직공업,[기재정정]사업보고서 (2012.03),부산방직공업,2012.10.10,연,00124018,20121010000521
47,유  한국주철관공업,[기재정정]사업보고서 (2012.03),한국주철관공업,2012.10.10,연,00159573,20121010000235
48,유  오리엔트바이오,[기재정정]사업보고서 (2012.03),오리엔트바이오,2012.10.10,정연,00141626,20121010000138
49,유  콜마홀딩스,[기재정정]사업보고서 (2012.03),콜마홀딩스,2012.10.10,연,00203290,20121010000083
50,유  일양약품,[기재정정]사업보고서 (2012.03),일양약품,2012.10.09,,00146454,20121009000293
51,유  엔피씨,[첨부정정]사업보고서 (2010.12),엔피씨,2012.10.08,연,00108038,20121008000218
52,기  제너시스템즈,[기재정정]사업보고서 (2012.03),제너시스템즈,2012.10.08,연,00453752,20121008000208
53,유  엔피씨,[첨부정정]사업보고서 (2010.12),엔피씨,2012.10.08,정연,00108038,20121008000200
54,기  국제엘렉트릭코리아,[기재정정]사업보고서 (2012.03),국제엘렉트릭코리아,2012.10.08,,00218052,20121008000177
55,기  에스비아이저축은행,사업보고서 (2012.06),에스비아이저축은행,2012.10.08,,00174518,20121008000148
56,유  대동전자,[기재정정]사업보고서 (2012.03),대동전자,2012.10.08,연,00157104,20121008000070
57,유  대동전자,[기재정정]사업보고서 (2012.03),대동전자,2012.10.05,정연,00157104,20121005000247
58,코  바른손,[기재정정]사업보고서 (2012.03),바른손,2012.10.05,정연,00122205,20121005000231
59,코  3S,[기재정정]사업보고서 (2012.03),3S,2012.10.05,연,00378363,20121005000192
60,코  화성밸브,[기재정정]사업보고서 (2012.03),화성밸브,2012.10.05,,00217743,20121005000113
61,유  유유제약,[기재정정]사업보고서 (2012.03),유유제약,2012.10.05,연,00144818,20121005000071
62,기  한울저축은행,[기재정정]사업보고서 (2012.06),한울저축은행,2012.10.04,정,00153481,20121004000050
63,기  골든브릿지저축은행,사업보고서 (2012.06),골든브릿지저축은행,2012.09.28,정,00174509,20120928000535
64,기  해솔저축은행,사업보고서 (2012.06),해솔저축은행,2012.09.28,,00547422,20120928000526
65,기  에스비아이2저축은행,사업보고서 (2012.06),에스비아이2저축은행,2012.09.28,,00100416,20120928000524
66,기  서울상호저축은행,사업보고서 (2012.06),서울상호저축은행,2012.09.28,정,00130815,20120928000520
67,기  솔로몬저축은행,사업보고서 (2012.06),솔로몬저축은행,2012.09.28,연,00189343,20120928000508
68,유  신성통상,사업보고서 (2012.06),신성통상,2012.09.28,정연,00136341,20120928000487
69,기  신라상호저축은행,사업보고서 (2012.06),신라상호저축은행,2012.09.28,,00170123,20120928000441
70,코  양지사,사업보고서 (2012.06),양지사,2012.09.28,,00139685,20120928000431
71,기  조은저축은행,사업보고서 (2012.06),조은저축은행,2012.09.28,,00136095,20120928000393
72,기  다올저축은행,사업보고서 (2012.06),다올저축은행,2012.09.28,,00165149,20120928000382
73,기  경기상호저축은행,사업보고서 (2012.06),경기상호저축은행,2012.09.28,,00385433,20120928000376
74,기  한국저축은행,사업보고서 (2012.06),한국저축은행,2012.09.28,연,00104704,20120928000374
75,유  세원정공,사업보고서 (2012.06),세원정공,2012.09.28,정연,00134316,20120928000360
76,기  진흥저축은행,사업보고서 (2012.06),진흥저축은행,2012.09.28,연,00150855,20120928000352
77,코  효성오앤비,사업보고서 (2012.06),효성오앤비,2012.09.28,연,00367385,20120928000334
78,코  메디콕스,사업보고서 (2012.06),메디콕스,2012.09.28,,00356839,20120928000324
79,기  코크렙제8호위탁관리부동산투자회사,사업보고서 (2012.06),코크렙제8호위탁관리부동산투자회사,2012.09.28,,00560025,20120928000318
80,유  체시스,사업보고서 (2012.06),체시스,2012.09.28,연,00125576,20120928000288
81,코  와이오엠,사업보고서 (2012.06),와이오엠,2012.09.28,,00370200,20120928000285
82,기  동양밸류오션기업인수목적,사업보고서 (2012.06),동양밸류오션기업인수목적,2012.09.28,,00798530,20120928000284
83,기  코크렙제15호기업구조조정부동산투자회사,사업보고서 (2012.06),코크렙제15호기업구조조정부동산투자회사,2012.09.28,,00788807,20120928000234
84,기  아시아퍼시픽12호선박투자회사,사업보고서 (2012.06),아시아퍼시픽12호선박투자회사,2012.09.28,연,00533836,20120928000231
85,기  아시아퍼시픽11호선박투자회사,사업보고서 (2012.06),아시아퍼시픽11호선박투자회사,2012.09.28,연,00533793,20120928000227
